starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 26 20:49:50 2021	1635261590	0	26	27	18
Tue Oct 26 20:49:50 2021	1635261590	4	37	40	35
Tue Oct 26 20:49:50 2021	1635261590	6	36	42	35
Tue Oct 26 20:50:04 2021	1635261604	0	47	47	47
Tue Oct 26 20:50:05 2021	1635261605	0	54	54	42
Tue Oct 26 20:50:02 2021	1635261602	0	59	59	58
Tue Oct 26 20:49:53 2021	1635261593	0	62	62	61
Tue Oct 26 20:50:05 2021	1635261605	0	62	62	61
Tue Oct 26 20:49:50 2021	1635261590	1	66	67	65
Tue Oct 26 20:49:53 2021	1635261593	0	68	68	68
Tue Oct 26 20:50:04 2021	1635261604	0	69	70	48
Tue Oct 26 20:49:50 2021	1635261590	0	73	73	49
Tue Oct 26 20:50:05 2021	1635261605	0	73	73	71
Tue Oct 26 20:49:53 2021	1635261593	0	77	77	63
Tue Oct 26 20:50:05 2021	1635261605	0	78	78	58
Tue Oct 26 20:50:05 2021	1635261605	0	83	83	52
Tue Oct 26 20:50:05 2021	1635261605	0	86	86	79
Tue Oct 26 20:50:05 2021	1635261605	0	87	87	83
Tue Oct 26 20:50:04 2021	1635261604	0	92	92	91
Tue Oct 26 20:50:05 2021	1635261605	0	92	92	69
Tue Oct 26 20:49:53 2021	1635261593	0	100	100	98
Tue Oct 26 20:49:50 2021	1635261590	0	101	101	91
Tue Oct 26 20:50:05 2021	1635261605	0	105	105	69
Tue Oct 26 20:49:53 2021	1635261593	0	107	107	106
Tue Oct 26 20:50:04 2021	1635261604	0	113	113	113
Tue Oct 26 20:50:05 2021	1635261605	0	120	120	105
Tue Oct 26 20:50:05 2021	1635261605	0	120	120	103
Tue Oct 26 20:50:04 2021	1635261604	0	125	125	124
Tue Oct 26 20:49:51 2021	1635261591	0	127	128	126
Tue Oct 26 20:49:56 2021	1635261596	0	131	131	87
Tue Oct 26 20:49:55 2021	1635261595	0	134	134	134
Tue Oct 26 20:49:57 2021	1635261597	0	136	136	135
Tue Oct 26 20:50:04 2021	1635261604	0	136	136	136
Tue Oct 26 20:50:05 2021	1635261605	0	137	137	133
Tue Oct 26 20:49:50 2021	1635261590	5	134	139	128
Tue Oct 26 20:50:05 2021	1635261605	0	139	139	137
Tue Oct 26 20:49:50 2021	1635261590	5	134	139	133
Tue Oct 26 20:49:51 2021	1635261591	0	141	141	140
Tue Oct 26 20:49:51 2021	1635261591	0	143	143	133
Tue Oct 26 20:50:04 2021	1635261604	0	147	147	146
Tue Oct 26 20:49:51 2021	1635261591	0	147	147	146
Tue Oct 26 20:50:04 2021	1635261604	0	147	147	146
Tue Oct 26 20:49:50 2021	1635261590	3	148	151	147
Tue Oct 26 20:49:51 2021	1635261591	0	153	153	152
Tue Oct 26 20:49:54 2021	1635261594	0	153	153	131
Tue Oct 26 20:50:05 2021	1635261605	0	155	155	151
Tue Oct 26 20:49:51 2021	1635261591	0	156	156	156
Tue Oct 26 20:49:50 2021	1635261590	4	154	158	153
Tue Oct 26 20:49:50 2021	1635261590	4	154	158	153
Tue Oct 26 20:50:04 2021	1635261604	0	159	159	157
Tue Oct 26 20:49:51 2021	1635261591	0	159	159	159
Tue Oct 26 20:49:57 2021	1635261597	0	163	163	151
